RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,1,2025-07-29 04:52:06.0025217,1531,Info,Microsoft-Windows-User Profiles Service,Application,384,1472,WIN-N0IRN1T9IF6,0,S-1-5-18,,,,,,,,,,,False,C:\Users\VM\Desktop\Application.evtx,Classic,0,"{""EventData"":""""}"
2,2,2025-07-29 04:52:08.3676468,1004,Info,Microsoft-Windows-Security-SPP,Application,0,0,WIN-N0IRN1T9IF6,0,,,,,,,,,,,,False,C:\Users\VM\Desktop\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""Windows(R) Publishing License (Public), b7a39314-bba1-4efe-bc80-476b9fa051e6"",""Binary"":""""}}"
3,3,2025-07-29 04:52:08.3676468,1004,Info,Microsoft-Windows-Security-SPP,Application,0,0,WIN-N0IRN1T9IF6,0,,,,,,,,,,,,False,C:\Users\VM\Desktop\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""Windows(R) Publishing License (Private), 83399c0e-d236-443a-89cb-ee2d1f7fc137"",""Binary"":""""}}"
4,4,2025-07-29 04:52:08.8576938,0,Info,edgeupdate,Application,0,0,WIN-N0IRN1T9IF6,0,,,,,,,,,,,,False,C:\Users\VM\Desktop\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""Service stopped"",""Binary"":""""}}"
5,5,2025-07-29 04:52:08.1370250,5615,Info,Microsoft-Windows-WMI,Application,384,1392,WIN-N0IRN1T9IF6,0,S-1-5-18,,,,,,,,,,,False,C:\Users\VM\Desktop\Application.evtx,Classic,0,"{""EventData"":""""}"
6,6,2025-07-29 04:52:10.5395251,1003,Info,Microsoft-Windows-Search,Application,0,0,WIN-N0IRN1T9IF6,0,,,,,,,,,,,,False,C:\Users\VM\Desktop\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":{""@Name"":""ExtraInfo"",""#text"":"", ""}}}"
7,7,2025-07-29 04:52:10.6645838,5617,Info,Microsoft-Windows-WMI,Application,384,2392,WIN-N0IRN1T9IF6,0,S-1-5-18,,,,,,,,,,,False,C:\Users\VM\Desktop\Application.evtx,Classic,0,"{""EventData"":""""}"
8,8,2025-07-29 04:52:13.4897243,1004,Info,Microsoft-Windows-Security-SPP,Application,0,0,WIN-N0IRN1T9IF6,0,,,,,,,,,,,,False,C:\Users\VM\Desktop\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""Windows(R) UL oob License (Public), 82f15488-2850-4a5c-bad0-27d3daad8726"",""Binary"":""""}}"
9,9,2025-07-29 04:52:13.4897243,1004,Info,Microsoft-Windows-Security-SPP,Application,0,0,WIN-N0IRN1T9IF6,0,,,,,,,,,,,,False,C:\Users\VM\Desktop\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""Windows(R) UL oob License (Private), 42310f42-376c-49b8-9e37-9ead472ebb85"",""Binary"":""""}}"
10,10,2025-07-29 04:52:14.4453264,1004,Info,Microsoft-Windows-Security-SPP,Application,0,0,WIN-N0IRN1T9IF6,0,,,,,,,,,,,,False,C:\Users\VM\Desktop\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""Windows(R) UL phone License (Public), 2b605961-d86e-476e-8aaf-414ac4f7fc83"",""Binary"":""""}}"
11,11,2025-07-29 04:52:14.4453264,1004,Info,Microsoft-Windows-Security-SPP,Application,0,0,WIN-N0IRN1T9IF6,0,,,,,,,,,,,,False,C:\Users\VM\Desktop\Application.evtx,0x80000000000000,352,"{""EventData"":{""Data"":""Windows(R) UL phone License (Private), 0e56e512-599f-4a41-bb9a-9bb5a97ffddd"",""Binary"":""""}}"
