RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,1,2025-07-29 04:52:05.7571516,6009,Info,EventLog,System,0,0,WIN-N0IRN1T9IF6,0,,,,,,,,,,,,False,C:\Users\VM\Desktop\System.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""10.00., 19045, Multiprocessor Free, 0"",""Binary"":""""}}"
2,2,2025-07-29 04:52:05.7571516,6005,Info,EventLog,System,0,0,WIN-N0IRN1T9IF6,0,,The Event log service was started,,,Computer: WIN-N0IRN1T9IF6,,,,,,,False,C:\Users\VM\Desktop\System.evtx,0x80000000000000,0,"{""EventData"":{""Data"":"""",""Binary"":""E9-07-07-00-02-00-1D-00-04-00-34-00-05-00-F5-02-00-00-00-00-00-00-00-00""}}"
3,3,2025-07-29 04:51:44.5893473,12,Info,Microsoft-Windows-Kernel-General,System,4,8,WIN-N0IRN1T9IF6,0,S-1-5-18,OS was started,,,StartTime: 2025-07-29 04:51:44.5000000,BootMode: Normal boot,,,,,,False,C:\Users\VM\Desktop\System.evtx,State,0,"{""EventData"":{""Data"":[{""@Name"":""MajorVersion"",""#text"":""10""},{""@Name"":""MinorVersion"",""#text"":""0""},{""@Name"":""BuildVersion"",""#text"":""19041""},{""@Name"":""QfeVersion"",""#text"":""3803""},{""@Name"":""ServiceVersion"",""#text"":""0""},{""@Name"":""BootMode"",""#text"":""0""},{""@Name"":""StartTime"",""#text"":""2025-07-29 04:51:44.5000000""}]}}"
4,4,2025-07-29 04:51:44.5894503,153,Info,Microsoft-Windows-Kernel-Boot,System,4,8,WIN-N0IRN1T9IF6,0,S-1-5-18,,,,,,,,,,,False,C:\Users\VM\Desktop\System.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""Status"",""#text"":""0""},{""@Name"":""EnableDisableReason"",""#text"":""0""},{""@Name"":""VsmPolicy"",""#text"":""0""}]}}"
5,5,2025-07-29 04:51:44.5896974,25,Info,Microsoft-Windows-Kernel-Boot,System,4,8,WIN-N0IRN1T9IF6,0,S-1-5-18,,,,,,,,,,,False,C:\Users\VM\Desktop\System.evtx,Classic,0,"{""EventData"":{""Data"":{""@Name"":""BootMenuPolicy"",""#text"":""1""}}}"
6,6,2025-07-29 04:51:44.5896982,27,Info,Microsoft-Windows-Kernel-Boot,System,4,8,WIN-N0IRN1T9IF6,0,S-1-5-18,,,,,,,,,,,False,C:\Users\VM\Desktop\System.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""BootType"",""#text"":""0""},{""@Name"":""LoadOptions"",""#text"":"" NOEXECUTE=OPTIN""}]}}"
7,7,2025-07-29 04:51:44.5897791,18,Info,Microsoft-Windows-Kernel-Boot,System,4,8,WIN-N0IRN1T9IF6,0,S-1-5-18,,,,,,,,,,,False,C:\Users\VM\Desktop\System.evtx,Classic,0,"{""EventData"":{""Data"":{""@Name"":""EntryCount"",""#text"":""1""}}}"
8,8,2025-07-29 04:51:44.5898142,32,Info,Microsoft-Windows-Kernel-Boot,System,4,8,WIN-N0IRN1T9IF6,0,S-1-5-18,,,,,,,,,,,False,C:\Users\VM\Desktop\System.evtx,Classic,0,"{""EventData"":{""Data"":{""@Name"":""BitlockerUserInputTime"",""#text"":""0""}}}"
9,9,2025-07-29 04:51:44.5984032,20,Info,Microsoft-Windows-Kernel-General,System,4,8,WIN-N0IRN1T9IF6,0,S-1-5-18,,,,,,,,,,,False,C:\Users\VM\Desktop\System.evtx,Time,0,"{""EventData"":{""Data"":[{""@Name"":""UpdateReason"",""#text"":""0""},{""@Name"":""EnabledNew"",""#text"":""True""},{""@Name"":""CountNew"",""#text"":""0""},{""@Name"":""CountOld"",""#text"":""0""}]}}"
10,10,2025-07-29 04:51:44.8448252,16,Info,Microsoft-Windows-HAL,System,4,8,WIN-N0IRN1T9IF6,0,S-1-5-18,,,,,,,,,,,False,C:\Users\VM\Desktop\System.evtx,Classic,0,"{""EventData"":""""}"
11,11,2025-07-29 04:51:45.7245660,6,Info,Microsoft-Windows-FilterManager,System,4,8,WIN-N0IRN1T9IF6,0,S-1-5-18,,,,,,,,,,,False,C:\Users\VM\Desktop\System.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""FinalStatus"",""#text"":""0x0""},{""@Name"":""DeviceVersionMajor"",""#text"":""10""},{""@Name"":""DeviceVersionMinor"",""#text"":""0""},{""@Name"":""DeviceNameLength"",""#text"":""8""},{""@Name"":""DeviceName"",""#text"":""FileInfo""},{""@Name"":""DeviceTime"",""#text"":""2062-12-22 22:21:06.0000000""}]}}"
12,12,2025-07-29 04:51:45.7251278,6,Info,Microsoft-Windows-FilterManager,System,4,8,WIN-N0IRN1T9IF6,0,S-1-5-18,,,,,,,,,,,False,C:\Users\VM\Desktop\System.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""FinalStatus"",""#text"":""0x0""},{""@Name"":""DeviceVersionMajor"",""#text"":""10""},{""@Name"":""DeviceVersionMinor"",""#text"":""0""},{""@Name"":""DeviceNameLength"",""#text"":""3""},{""@Name"":""DeviceName"",""#text"":""Wof""},{""@Name"":""DeviceTime"",""#text"":""2090-03-16 11:56:17.0000000""}]}}"
13,13,2025-07-29 04:51:45.7260728,6,Info,Microsoft-Windows-FilterManager,System,4,8,WIN-N0IRN1T9IF6,0,S-1-5-18,,,,,,,,,,,False,C:\Users\VM\Desktop\System.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""FinalStatus"",""#text"":""0x0""},{""@Name"":""DeviceVersionMajor"",""#text"":""10""},{""@Name"":""DeviceVersionMinor"",""#text"":""0""},{""@Name"":""DeviceNameLength"",""#text"":""8""},{""@Name"":""DeviceName"",""#text"":""WdFilter""},{""@Name"":""DeviceTime"",""#text"":""2066-04-08 21:52:09.0000000""}]}}"
14,14,2025-07-29 04:51:46.0916600,98,Info,Microsoft-Windows-Ntfs,System,4,300,WIN-N0IRN1T9IF6,0,S-1-5-18,,,,,,,,,,,False,C:\Users\VM\Desktop\System.evtx,0x8000000000000002,0,"{""EventData"":{""Data"":[{""@Name"":""DriveName"",""#text"":""C:""},{""@Name"":""DeviceName"",""#text"":""\\Device\\HarddiskVolume2""},{""@Name"":""CorruptionActionState"",""#text"":""0""}]}}"
