RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,1,2025-07-29 04:52:08.8624391,5007,Info,Microsoft-Windows-Windows Defender,Microsoft-Windows-Windows Defender/Operational,1772,2140,WIN-N0IRN1T9IF6,0,S-1-5-18,The antimalware platform configuration changed,,,Old Value: Default\InstallLocation = C:\Program Files\Windows Defender,New Value: HKLM\SOFTWARE\Microsoft\Windows Defender\InstallLocation = C:\Program Files\Windows Defender\,,,,,,False,C:\Users\VM\Desktop\WindowsDefender.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""Product Name"",""#text"":""%%827""},{""@Name"":""Product Version"",""#text"":""4.18.1909.6""},{""@Name"":""Old Value"",""#text"":""Default\\InstallLocation = C:\\Program Files\\Windows Defender""},{""@Name"":""New Value"",""#text"":""HKLM\\SOFTWARE\\Microsoft\\Windows Defender\\InstallLocation = C:\\Program Files\\Windows Defender\\""}]}}"
2,2,2025-07-29 04:52:08.8624937,5007,Info,Microsoft-Windows-Windows Defender,Microsoft-Windows-Windows Defender/Operational,1772,2140,WIN-N0IRN1T9IF6,0,S-1-5-18,The antimalware platform configuration changed,,,"Old Value: N/A\ProductType = ",New Value: HKLM\SOFTWARE\Microsoft\Windows Defender\ProductType = 0x2,,,,,,False,C:\Users\VM\Desktop\WindowsDefender.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""Product Name"",""#text"":""%%827""},{""@Name"":""Product Version"",""#text"":""4.18.1909.6""},{""@Name"":""Old Value"",""#text"":""N/A\\ProductType = ""},{""@Name"":""New Value"",""#text"":""HKLM\\SOFTWARE\\Microsoft\\Windows Defender\\ProductType = 0x2""}]}}"
3,3,2025-07-29 04:52:12.8049493,5007,Info,Microsoft-Windows-Windows Defender,Microsoft-Windows-Windows Defender/Operational,1772,2140,WIN-N0IRN1T9IF6,0,S-1-5-18,The antimalware platform configuration changed,,,Old Value: Default\ManagedDefenderProductType = 0x0,New Value: HKLM\SOFTWARE\Microsoft\Windows Defender\ManagedDefenderProductType = 0x0,,,,,,False,C:\Users\VM\Desktop\WindowsDefender.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""Product Name"",""#text"":""%%827""},{""@Name"":""Product Version"",""#text"":""4.18.1909.6""},{""@Name"":""Old Value"",""#text"":""Default\\ManagedDefenderProductType = 0x0""},{""@Name"":""New Value"",""#text"":""HKLM\\SOFTWARE\\Microsoft\\Windows Defender\\ManagedDefenderProductType = 0x0""}]}}"
4,4,2025-07-29 04:52:12.8066410,5007,Info,Microsoft-Windows-Windows Defender,Microsoft-Windows-Windows Defender/Operational,1772,2140,WIN-N0IRN1T9IF6,0,S-1-5-18,The antimalware platform configuration changed,,,Old Value: Default\Features\TamperProtection = 0x0,New Value: HKLM\SOFTWARE\Microsoft\Windows Defender\Features\TamperProtection = 0x1,,,,,,False,C:\Users\VM\Desktop\WindowsDefender.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""Product Name"",""#text"":""%%827""},{""@Name"":""Product Version"",""#text"":""4.18.1909.6""},{""@Name"":""Old Value"",""#text"":""Default\\Features\\TamperProtection = 0x0""},{""@Name"":""New Value"",""#text"":""HKLM\\SOFTWARE\\Microsoft\\Windows Defender\\Features\\TamperProtection = 0x1""}]}}"
5,5,2025-07-29 04:52:18.2010805,5007,Info,Microsoft-Windows-Windows Defender,Microsoft-Windows-Windows Defender/Operational,1772,2140,WIN-N0IRN1T9IF6,0,S-1-5-18,The antimalware platform configuration changed,,,"Old Value: ",New Value: HKLM\SOFTWARE\Microsoft\Windows Defender\MpEngine\MpCampRing = 0x2,,,,,,False,C:\Users\VM\Desktop\WindowsDefender.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""Product Name"",""#text"":""%%827""},{""@Name"":""Product Version"",""#text"":""4.18.1909.6""},{""@Name"":""Old Value""},{""@Name"":""New Value"",""#text"":""HKLM\\SOFTWARE\\Microsoft\\Windows Defender\\MpEngine\\MpCampRing = 0x2""}]}}"
6,6,2025-07-29 04:52:18.2010941,5007,Info,Microsoft-Windows-Windows Defender,Microsoft-Windows-Windows Defender/Operational,1772,2140,WIN-N0IRN1T9IF6,0,S-1-5-18,The antimalware platform configuration changed,,,"Old Value: ",New Value: HKLM\SOFTWARE\Microsoft\Windows Defender\MpEngine\MpCampGradualRelease = 0x1,,,,,,False,C:\Users\VM\Desktop\WindowsDefender.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""Product Name"",""#text"":""%%827""},{""@Name"":""Product Version"",""#text"":""4.18.1909.6""},{""@Name"":""Old Value""},{""@Name"":""New Value"",""#text"":""HKLM\\SOFTWARE\\Microsoft\\Windows Defender\\MpEngine\\MpCampGradualRelease = 0x1""}]}}"
7,7,2025-07-29 04:52:18.2011020,5007,Info,Microsoft-Windows-Windows Defender,Microsoft-Windows-Windows Defender/Operational,1772,2140,WIN-N0IRN1T9IF6,0,S-1-5-18,The antimalware platform configuration changed,,,"Old Value: ",New Value: HKLM\SOFTWARE\Microsoft\Windows Defender\MpEngine\MpEngineRing = 0x2,,,,,,False,C:\Users\VM\Desktop\WindowsDefender.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""Product Name"",""#text"":""%%827""},{""@Name"":""Product Version"",""#text"":""4.18.1909.6""},{""@Name"":""Old Value""},{""@Name"":""New Value"",""#text"":""HKLM\\SOFTWARE\\Microsoft\\Windows Defender\\MpEngine\\MpEngineRing = 0x2""}]}}"
8,8,2025-07-29 04:52:18.2035661,5007,Info,Microsoft-Windows-Windows Defender,Microsoft-Windows-Windows Defender/Operational,1772,2140,WIN-N0IRN1T9IF6,0,S-1-5-18,The antimalware platform configuration changed,,,Old Value: Default\Real-Time Protection\DpaDisabled = 0x0,New Value: HKLM\SOFTWARE\Microsoft\Windows Defender\Real-Time Protection\DpaDisabled = 0x0,,,,,,False,C:\Users\VM\Desktop\WindowsDefender.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""Product Name"",""#text"":""%%827""},{""@Name"":""Product Version"",""#text"":""4.18.1909.6""},{""@Name"":""Old Value"",""#text"":""Default\\Real-Time Protection\\DpaDisabled = 0x0""},{""@Name"":""New Value"",""#text"":""HKLM\\SOFTWARE\\Microsoft\\Windows Defender\\Real-Time Protection\\DpaDisabled = 0x0""}]}}"
9,9,2025-07-29 04:52:18.2061945,5007,Info,Microsoft-Windows-Windows Defender,Microsoft-Windows-Windows Defender/Operational,1772,2140,WIN-N0IRN1T9IF6,0,S-1-5-18,The antimalware platform configuration changed,,,Old Value: Default\Scan\AggressiveCatchupQuickScanReattemptElapsed = 0x17,New Value: HKLM\SOFTWARE\Microsoft\Windows Defender\Scan\AggressiveCatchupQuickScanReattemptElapsed = 0x17,,,,,,False,C:\Users\VM\Desktop\WindowsDefender.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""Product Name"",""#text"":""%%827""},{""@Name"":""Product Version"",""#text"":""4.18.1909.6""},{""@Name"":""Old Value"",""#text"":""Default\\Scan\\AggressiveCatchupQuickScanReattemptElapsed = 0x17""},{""@Name"":""New Value"",""#text"":""HKLM\\SOFTWARE\\Microsoft\\Windows Defender\\Scan\\AggressiveCatchupQuickScanReattemptElapsed = 0x17""}]}}"
10,10,2025-07-29 04:52:18.2062130,5007,Info,Microsoft-Windows-Windows Defender,Microsoft-Windows-Windows Defender/Operational,1772,2140,WIN-N0IRN1T9IF6,0,S-1-5-18,The antimalware platform configuration changed,,,Old Value: Default\Scan\DaysUntilAggressiveCatchupQuickScan = 0x19,New Value: HKLM\SOFTWARE\Microsoft\Windows Defender\Scan\DaysUntilAggressiveCatchupQuickScan = 0x1E,,,,,,False,C:\Users\VM\Desktop\WindowsDefender.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""Product Name"",""#text"":""%%827""},{""@Name"":""Product Version"",""#text"":""4.18.1909.6""},{""@Name"":""Old Value"",""#text"":""Default\\Scan\\DaysUntilAggressiveCatchupQuickScan = 0x19""},{""@Name"":""New Value"",""#text"":""HKLM\\SOFTWARE\\Microsoft\\Windows Defender\\Scan\\DaysUntilAggressiveCatchupQuickScan = 0x1E""}]}}"
